text,label
"Bhai, maal chahiye toh DM karo",1
"Kuch green chahiye, toh contact karo",1
"Kuch green chahiye, toh contact karo",1
"Aaj momos khane ka mood hai, anyone interested?",0
"Yaar, kal ka match mast tha!",0
Koi high quality maal chahiye? Message me privately,1
"Kuch green chahiye, toh contact karo",1
"Aaj momos khane ka mood hai, anyone interested?",0
"Kuch green chahiye, toh contact karo",1
"Bhai log, koi new series recommend karo na",0
Yeh weekend Goa ka plan pakka hai!,0
Koi high quality maal chahiye? Message me privately,1
"Bhai, pure MD ka stock hai, interested?",1
"Loving the street food in Delhi, chaat is amazing!",0
"Party ke liye stuff available, message me fast",1
"Happy Holi to everyone, stay safe and have fun!",0
"Yaar, kal ka match mast tha!",0
"Bhai, maal chahiye toh DM karo",1
"Yaar, kal ka match mast tha!",0
"Happy Holi to everyone, stay safe and have fun!",0
Such a beautiful morning at Marine Drive!,0
"Aaj momos khane ka mood hai, anyone interested?",0
"Sasta chitta available, contact fast",1
"Loving the street food in Delhi, chaat is amazing!",0
Yeh weekend Goa ka plan pakka hai!,0
"Party ke liye stuff available, message me fast",1
Such a beautiful morning at Marine Drive!,0
"Happy Holi to everyone, stay safe and have fun!",0
"Yaar, kal ka match mast tha!",0
"Happy Holi to everyone, stay safe and have fun!",0
"Yaar, kal ka match mast tha!",0
"Just watched a Bollywood movie, it was awesome!",0
"Kuch green chahiye, toh contact karo",1
"Yaar, kal ka match mast tha!",0
"Just watched a Bollywood movie, it was awesome!",0
"Happy Holi to everyone, stay safe and have fun!",0
"Just watched a Bollywood movie, it was awesome!",0
"Chillum ya joint ka jugaad ho jayega, DM karo",1
Koi high quality maal chahiye? Message me privately,1
"Bhai, pure MD ka stock hai, interested?",1
Diwali ki shopping karke thak gaya yaar,0
"Bhai, pure MD ka stock hai, interested?",1
"Happy Holi to everyone, stay safe and have fun!",0
"Bhai, maal chahiye toh DM karo",1
"Sasta chitta available, contact fast",1
"Yaar, kal ka match mast tha!",0
Family dinner is always the best part of the week,0
